 time            v(d_p)          v(d_n)          v(x1.gclk_b)   
 6.01000000e-10  1.19999995e+00  1.20006750e+00 -2.91489374e-03 
 6.03000000e-10  1.19999995e+00  1.20006839e+00 -2.71267935e-03 
 6.05000000e-10  1.19999995e+00  1.20006756e+00 -2.52171684e-03 
 6.07000000e-10  1.19999995e+00  1.20006322e+00 -2.34455831e-03 
 6.09000000e-10  1.19999995e+00  1.20005325e+00 -2.18125533e-03 
 6.11000000e-10  1.19999995e+00  1.20003506e+00 -2.03033104e-03 
 6.13000000e-10  1.19999995e+00  1.20000547e+00 -1.89099547e-03 
 6.15000000e-10  1.19999995e+00  1.19996132e+00 -1.76298944e-03 
 6.17000000e-10  1.19999995e+00  1.19990003e+00 -1.64580899e-03 
 6.19000000e-10  1.19999995e+00  1.19981979e+00 -1.53825425e-03 
 6.21000000e-10  1.19999995e+00  1.19972043e+00 -1.44103214e-03 
 6.23000000e-10  1.19999995e+00  1.19960597e+00 -1.36205424e-03 
 6.25000000e-10  1.19999995e+00  1.19948379e+00 -1.30810182e-03 
 6.27000000e-10  1.19999995e+00  1.19936050e+00 -1.27719599e-03 
 6.29000000e-10  1.19999995e+00  1.19924077e+00 -1.26372772e-03 
 6.31000000e-10  1.19999995e+00  1.19912719e+00 -1.26132494e-03 
 6.33000000e-10  1.19999995e+00  1.19902039e+00 -1.26389058e-03 
 6.35000000e-10  1.19999995e+00  1.19891929e+00 -1.26610007e-03 
 6.37000000e-10  1.19999995e+00  1.19882159e+00 -1.26383137e-03 
 6.39000000e-10  1.19999995e+00  1.19872441e+00 -1.25422331e-03 
 6.41000000e-10  1.19999995e+00  1.19862565e+00 -1.23559936e-03 
 6.43000000e-10  1.19999995e+00  1.19852649e+00 -1.20737585e-03 
 6.45000000e-10  1.19999995e+00  1.19843476e+00 -1.17044312e-03 
 6.47000000e-10  1.19999995e+00  1.19836661e+00 -1.12684900e-03 
 6.49000000e-10  1.19999995e+00  1.19834420e+00 -1.07864873e-03 
 6.51000000e-10  1.19999995e+00  1.19839264e+00 -1.02740742e-03 
 6.53000000e-10  1.19999995e+00  1.19853886e+00 -9.74317575e-04 
 6.55000000e-10  1.19999995e+00  1.19881167e+00 -9.20358510e-04 
 6.57000000e-10  1.19999995e+00  1.19924169e+00 -8.66392039e-04 
 6.59000000e-10  1.19999995e+00  1.19986095e+00 -8.13183958e-04 
 6.61000000e-10  1.19999995e+00  1.20070203e+00 -7.61410454e-04 
 6.63000000e-10  1.19999995e+00  1.20179477e+00 -7.11546174e-04 
 6.65000000e-10  1.19999995e+00  1.20315454e+00 -6.63287031e-04 
 6.67000000e-10  1.19999995e+00  1.20477321e+00 -6.15832229e-04 
 6.69000000e-10  1.19999995e+00  1.20662869e+00 -5.69401897e-04 
 6.71000000e-10  1.19999995e+00  1.20869480e+00 -5.24965220e-04 
 6.73000000e-10  1.19999995e+00  1.21094498e+00 -4.83287101e-04 
