corner,vdd_v,temp_c,vctrl_v,up_a,down_a,both_a,mismatch_pct
tt,1.32,-40,0.50,2.943071e-06,-2.39657e-06,5.465049e-07,20.4696
tt,1.32,-40,0.60,2.934771e-06,-2.60948e-06,3.252909e-07,11.7344
tt,1.32,-40,0.70,2.909451e-06,-2.79246e-06,1.169907e-07,4.1036
tt,1.32,-40,0.80,2.870154e-06,-2.88103e-06,-1.08774e-08,0.3782
tt,1.32,-40,0.90,2.82058e-06,-2.90314e-06,-8.25564e-08,2.8848
tt,1.32,27,0.50,3.095341e-06,-2.50931e-06,5.86019e-07,20.9123
tt,1.32,27,0.60,3.084489e-06,-2.72188e-06,3.626109e-07,12.4900
tt,1.32,27,0.70,3.060562e-06,-2.91133e-06,1.492363e-07,4.9978
tt,1.32,27,0.80,3.027518e-06,-3.03298e-06,-5.45304e-09,0.1802
tt,1.32,27,0.90,2.98637e-06,-3.0688e-06,-8.24128e-08,2.7226
tt,1.32,125,0.50,3.346388e-06,-2.68677e-06,6.591201e-07,21.8664
tt,1.32,125,0.60,3.331966e-06,-2.89427e-06,4.375186e-07,14.0597
tt,1.32,125,0.70,3.309784e-06,-3.08404e-06,2.258758e-07,7.0613
tt,1.32,125,0.80,3.281736e-06,-3.23576e-06,4.640364e-08,1.4108
tt,1.32,125,0.90,3.247106e-06,-3.30856e-06,-6.0745e-08,1.8748
