corner,vdd_v,temp_c,vctrl_v,vbp_v,freq_hz,current_a,power_w,energy_j,vmin_v,vmax_v
ss,1.32,-40,0.7,0.564239,975495552,1.98318e-05,2.6177976e-05,2.68355668e-14,-0.011731,1.33944
ss,1.32,-40,0.75,0.505998,1.45806602e+09,2.99966e-05,3.9595512e-05,2.7156186e-14,-0.0160883,1.34599
ss,1.32,-40,0.8,0.448274,1.97258112e+09,4.21805e-05,5.567826e-05,2.82260939e-14,-0.0200484,1.35203
ss,1.32,-40,0.85,0.391898,2.48768595e+09,5.42646e-05,7.1629272e-05,2.87935348e-14,-0.0231801,1.35695
ss,1.32,-40,0.9,0.337846,2.96656679e+09,6.65036e-05,8.7784752e-05,2.95913621e-14,-0.0254447,1.35994
ss,1.32,-40,0.95,0.287842,3.37997702e+09,7.71841e-05,0.000101883012,3.01431079e-14,-0.0268256,1.3595
ss,1.32,27,0.35,1.05048e+00,FAIL,FAIL,FAIL,FAIL,2.06974e-03,6.62098e-03
ss,1.32,27,0.4,9.68382e-01,FAIL,FAIL,FAIL,FAIL,4.28340e-05,1.95585e-03
ss,1.32,27,0.45,8.32497e-01,FAIL,FAIL,FAIL,FAIL,-1.02667e-04,1.31840e+00
ss,1.32,27,0.5,7.79725e-01,FAIL,FAIL,FAIL,FAIL,1.31967e+00,1.32000e+00
ss,1.32,27,0.55,7.23381e-01,FAIL,FAIL,FAIL,FAIL,-2.40988e-03,1.32472e+00
ss,1.32,27,0.6,0.664202,409480288,8.61126e-06,1.13668632e-05,2.7759244e-14,-0.00483609,1.32926
ss,1.32,27,0.65,0.603281,794836741,1.62366e-05,2.1432312e-05,2.69644204e-14,-0.00792841,1.33428
ss,1.32,27,0.7,0.542492,1.23443074e+09,2.53788e-05,3.3500016e-05,2.7138028e-14,-0.0112544,1.33971
ss,1.32,27,0.75,0.48306,1.69937973e+09,3.63784e-05,4.8019488e-05,2.82570677e-14,-0.0145138,1.3451
ss,1.32,27,0.8,0.425251,2.16783368e+09,4.55664e-05,6.0147648e-05,2.77455085e-14,-0.0173379,1.34995
ss,1.32,27,0.85,0.370075,2.61103423e+09,5.73421e-05,7.5691572e-05,2.89891152e-14,-0.0194782,1.3533
ss,1.32,27,0.9,0.318659,3.00228173e+09,6.70802e-05,8.8545864e-05,2.94928564e-14,-0.0209301,1.3537
ss,1.32,27,0.95,0.272687,3.32856239e+09,7.57822e-05,0.000100032504,3.00527652e-14,-0.0218386,1.34954
